"","setor","def","cores"
"1","ABASTECIMENTO","Provimento de alimentos e/ou outros insumos.","#0D0887FF"
"2","COMUNICAÇÃO","Rádio e TV, imprensa oficial e gráficas.","#310597FF"
"3","DESENVOLVIMENTO","Promoção do desenvolvimento econômico regional.","#4C02A1FF"
"4","DISTRIBUIÇÃO DE GÁS","Aquisição, armazenagem, transporte, envasilhamento, comercialização e distribuição de gás.","#6600A7FF"
"5","ENERGIA","Geração, transmissão, distribuição e comercialização de energia elétrica.","#7E03A8FF"
"6","FINANCEIRO","Bancos, bancos de desenvolvimento, caixas econômicas e agências de fomento ao crédito","#9511A1FF"
"7","GESTÃO DE ATIVOS","Gestão de patrimônio, implementação de PPP, operações de obtenção de recursos no mercado de capitais, assessoramento em participações acionárias, securitização e recuperação de créditos.","#A92395FF"
"8","HABITAÇÃO E URBANIZAÇÃO","Planejamento arquitetônico, fiscalização de obras, estudos de engenharia e arquitetura, avaliações mobiliárias, construção civil em geral e habitação .","#BC3488FF"
"9","INFORMÁTICA","Atividades de processamento de dados e tecnologia da informação","#CC4678FF"
"10","MINERAÇÃO","Pesquisa, exploração, extração e beneficiamento de minérios","#DA596AFF"
"11","PESQUISA E ASSISTÊNCIA TÉCNICA","Produção de estudos e pesquisas, promoção do desenvolvimento sustentável e apoio técnico a agricultores e organizações do meio rural.","#E56B5DFF"
"12","PORTOS E HIDROVIAS","Administração e gestão de portos, organização e viabilização do transporte aquaviário.","#F07F4FFF"
"13","SAÚDE","Serviços laboratoriais e indústria farmaceutica.","#F89441FF"
"14","SANEAMENTO","Tratamento de água e esgoto, drenagem urbana e águas pluviais.","#FDAB33FF"
"15","TRANSPORTES","Serviços de transporte rodoviário, ferroviário e metroviário.","#FDC328FF"
"16","TURISMO","Promoção do turismo regional.","#F9DD25FF"
"17","OUTROS","Outros setores que não se enquadrem nas definições dos setores destacados.","#F0F921FF"
